[1] : n = 499; d = 0.70
[2] : n = 51; d = 0.03
[3] : n = 500; d = 0.50
[4] : n = 500; d = 0.07
[5] : n = 500; d = 1.00
[6] : n = 35; d = 0.50
[7] : n = 18; d = 0.08
[8] : n = 200; d = 0.01
[9] : n = 498; d = 1.00
[10] : n = 500; d = 0.50
[11] : n = 480; d = 0.00
[12] : n = 500; d = 0.50
[13] : n = 200; d = 0.01
[14] : n = 500; d = 0.00
[15] : n = 500; d = 0.41
[16] : n = 500; d = 0.01
[17] : n = 10; d = 0.16
[18] : n = 100; d = 0.04
[19] : n = 500; d = 0.23
[20] : n = 500; d = 0.30
[21] : n = 500; d = 0.50
[22] : n = 10; d = 0.10
[23] : n = 500; d = 0.50
[24] : n = 100; d = 0.01
[25] : n = 400; d = 0.50
[26] : n = 50; d = 0.01
[27] : n = 300; d = 0.50
[28] : n = 500; d = 0.50
[29] : n = 500; d = 0.36
[30] : n = 100; d = 0.50
[31] : n = 450; d = 0.50
[32] : n = 350; d = 0.00
[33] : n = 400; d = 0.50
[34] : n = 500; d = 0.00
[35] : n = 100; d = 0.02
[36] : n = 499; d = 0.50
[37] : n = 100; d = 0.01
[38] : n = 428; d = 0.04
[39] : n = 500; d = 0.20
[40] : n = 288; d = 0.00
[41] : n = 500; d = 0.50
[42] : n = 500; d = 0.99
[43] : n = 500; d = 1.00
[44] : n = 3; d = 0.50
[45] : n = 100; d = 0.01
[46] : n = 450; d = 0.04
[47] : n = 3; d = 0.33
[48] : n = 500; d = 0.00
[49] : n = 500; d = 0.00
[50] : n = 100; d = 0.50
[51] : n = 5; d = 0.15
[52] : n = 498; d = 0.50
[53] : n = 100; d = 0.50
[54] : n = 500; d = 0.01
[55] : n = 496; d = 0.50
[56] : n = 500; d = 0.10
[57] : n = 500; d = 0.10
[58] : n = 200; d = 0.20
[59] : n = 99; d = 0.02
[60] : n = 5; d = 0.30
[61] : n = 10; d = 0.11
[62] : n = 500; d = 0.19
[63] : n = 30; d = 0.08
[64] : n = 500; d = 0.77
[65] : n = 455; d = 0.01
[66] : n = 10; d = 0.00
[67] : n = 500; d = 0.50
[68] : n = 500; d = 0.20
[69] : n = 100; d = 0.00
[70] : n = 9; d = 0.15
[71] : n = 100; d = 0.01
[72] : n = 499; d = 0.60
[73] : n = 200; d = 0.01
[74] : n = 200; d = 0.22
[75] : n = 500; d = 0.33
[76] : n = 50; d = 0.12
[77] : n = 500; d = 1.00
[78] : n = 308; d = 0.50
[79] : n = 499; d = 0.18
[80] : n = 500; d = 0.00
[81] : n = 10; d = 0.04
[82] : n = 500; d = 1.00
[83] : n = 500; d = 0.54
[84] : n = 50; d = 0.01
[85] : n = 500; d = 0.00
[86] : n = 300; d = 0.50
[87] : n = 100; d = 0.05
[88] : n = 217; d = 0.08
[89] : n = 500; d = 0.50
[90] : n = 100; d = 0.10
[91] : n = 9; d = 0.11
[92] : n = 250; d = 0.00
[93] : n = 500; d = 0.00
[94] : n = 100; d = 0.02
[95] : n = 5; d = 0.25
[96] : n = 500; d = 0.82
[97] : n = 500; d = 0.00
[98] : n = 338; d = 0.50
[99] : n = 200; d = 0.01
[100] : n = 300; d = 0.94
[101] : n = 499; d = 0.50
[102] : n = 499; d = 0.40
[103] : n = 500; d = 0.10
[104] : n = 50; d = 0.03
[105] : n = 500; d = 0.00
[106] : n = 416; d = 0.01
[107] : n = 500; d = 0.01
[108] : n = 160; d = 0.00
[109] : n = 6; d = 0.23
[110] : n = 181; d = 0.02
[111] : n = 169; d = 0.02
[112] : n = 350; d = 0.50
[113] : n = 30; d = 0.04
[114] : n = 60; d = 0.48
[115] : n = 500; d = 0.80
[116] : n = 500; d = 0.88
[117] : n = 300; d = 0.05
[118] : n = 500; d = 0.18
[119] : n = 100; d = 0.69
[120] : n = 35; d = 0.07
[121] : n = 500; d = 0.50
[122] : n = 450; d = 0.07
[123] : n = 44; d = 0.04
[124] : n = 200; d = 0.00
[125] : n = 500; d = 0.20
[126] : n = 500; d = 0.00
[127] : n = 499; d = 0.00
[128] : n = 500; d = 0.50
[129] : n = 140; d = 0.10
[130] : n = 500; d = 0.19
[131] : n = 500; d = 0.01
[132] : n = 100; d = 0.01
[133] : n = 500; d = 0.90
[134] : n = 400; d = 0.50
[135] : n = 500; d = 0.43
[136] : n = 491; d = 0.40
[137] : n = 50; d = 0.11
[138] : n = 500; d = 0.45
[139] : n = 16; d = 0.09
[140] : n = 100; d = 0.05
[141] : n = 500; d = 0.16
[142] : n = 500; d = 0.85
[143] : n = 15; d = 0.11
[144] : n = 21; d = 0.06
[145] : n = 500; d = 0.80
[146] : n = 1; d = 0.00
[147] : n = 500; d = 0.01
[148] : n = 100; d = 0.08
[149] : n = 10; d = 0.16
[150] : n = 500; d = 0.50
[151] : n = 300; d = 0.00
[152] : n = 2; d = 0.00
[153] : n = 30; d = 0.05
[154] : n = 500; d = 0.38
[155] : n = 400; d = 0.00
[156] : n = 482; d = 0.02
[157] : n = 400; d = 0.13
[158] : n = 500; d = 0.08
[159] : n = 500; d = 0.14
[160] : n = 100; d = 0.01
[161] : n = 200; d = 0.01
[162] : n = 500; d = 0.30
[163] : n = 450; d = 0.80
[164] : n = 14; d = 0.10
[165] : n = 500; d = 0.07
[166] : n = 261; d = 0.16
[167] : n = 250; d = 0.30
[168] : n = 100; d = 0.49
[169] : n = 100; d = 0.01
[170] : n = 500; d = 0.01
[171] : n = 100; d = 0.01
[172] : n = 300; d = 0.00
[173] : n = 100; d = 0.50
[174] : n = 500; d = 1.00
[175] : n = 500; d = 0.33
[176] : n = 100; d = 0.05
[177] : n = 500; d = 0.60
[178] : n = 58; d = 0.02
[179] : n = 500; d = 0.76
[180] : n = 500; d = 0.06
[181] : n = 499; d = 0.50
[182] : n = 500; d = 0.10
[183] : n = 500; d = 0.50
[184] : n = 58; d = 0.02
[185] : n = 10; d = 0.13
[186] : n = 500; d = 0.80
[187] : n = 50; d = 0.26
[188] : n = 400; d = 0.50
[189] : n = 26; d = 0.05
[190] : n = 365; d = 0.60
[191] : n = 500; d = 0.50
[192] : n = 500; d = 0.40
[193] : n = 500; d = 0.00
[194] : n = 14; d = 0.49
[195] : n = 500; d = 0.24
[196] : n = 5; d = 0.30
[197] : n = 500; d = 0.03
[198] : n = 388; d = 0.01
[199] : n = 500; d = 1.00
[200] : n = 50; d = 0.11
[201] : n = 20; d = 0.06
[202] : n = 500; d = 0.50
[203] : n = 7; d = 0.21
[204] : n = 19; d = 0.04
[205] : n = 500; d = 0.04
[206] : n = 120; d = 0.01
[207] : n = 100; d = 0.04
[208] : n = 7; d = 0.21
[209] : n = 9; d = 0.19
[210] : n = 369; d = 0.50
[211] : n = 10; d = 0.16
[212] : n = 200; d = 0.10
[213] : n = 497; d = 0.00
[214] : n = 500; d = 0.00
[215] : n = 100; d = 0.20
[216] : n = 12; d = 0.11
[217] : n = 271; d = 0.02
[218] : n = 450; d = 0.00
[219] : n = 498; d = 0.22
[220] : n = 500; d = 0.20
[221] : n = 500; d = 0.10
[222] : n = 120; d = 0.01
[223] : n = 500; d = 1.00
[224] : n = 100; d = 0.01
[225] : n = 30; d = 0.07
[226] : n = 500; d = 0.23
[227] : n = 500; d = 0.00
[228] : n = 50; d = 0.03
[229] : n = 191; d = 0.50
[230] : n = 100; d = 0.01
[231] : n = 10; d = 1.00
[232] : n = 5; d = 0.70
[233] : n = 464; d = 0.00
[234] : n = 500; d = 0.01
[235] : n = 500; d = 0.00
[236] : n = 421; d = 0.37
[237] : n = 500; d = 0.23
[238] : n = 500; d = 0.32
[239] : n = 100; d = 0.50
[240] : n = 6; d = 0.33
[241] : n = 500; d = 0.10
[242] : n = 50; d = 0.80
[243] : n = 10; d = 0.17
[244] : n = 500; d = 0.02
[245] : n = 497; d = 0.00
[246] : n = 500; d = 0.00
[247] : n = 10; d = 0.23
[248] : n = 483; d = 0.00
[249] : n = 500; d = 0.10
[250] : n = 337; d = 0.50
[251] : n = 450; d = 0.80
[252] : n = 10; d = 0.23
[253] : n = 500; d = 0.11
[254] : n = 500; d = 0.50
[255] : n = 400; d = 0.00
[256] : n = 450; d = 0.07
[257] : n = 500; d = 0.01
[258] : n = 500; d = 0.03
[259] : n = 100; d = 0.00
[260] : n = 10; d = 0.00
[261] : n = 100; d = 0.00
[262] : n = 500; d = 0.00
[263] : n = 8; d = 0.09
[264] : n = 500; d = 0.10
[265] : n = 500; d = 0.71
[266] : n = 200; d = 0.10
[267] : n = 100; d = 0.59
[268] : n = 500; d = 0.95
[269] : n = 160; d = 0.50
[270] : n = 500; d = 0.05
[271] : n = 400; d = 0.13
[272] : n = 15; d = 0.10
[273] : n = 500; d = 0.10
[274] : n = 250; d = 0.60
[275] : n = 300; d = 0.69
[276] : n = 499; d = 0.50
[277] : n = 1; d = 0.00
[278] : n = 480; d = 0.00
[279] : n = 500; d = 0.07
[280] : n = 500; d = 1.00
[281] : n = 500; d = 0.00
[282] : n = 500; d = 0.51
[283] : n = 200; d = 0.01
[284] : n = 500; d = 0.20
[285] : n = 10; d = 0.02
[286] : n = 498; d = 0.00
[287] : n = 50; d = 0.37
[288] : n = 490; d = 0.03
[289] : n = 96; d = 0.02
[290] : n = 100; d = 0.50
[291] : n = 500; d = 0.50
[292] : n = 500; d = 0.45
[293] : n = 421; d = 0.00
[294] : n = 8; d = 0.21
[295] : n = 500; d = 0.33
[296] : n = 150; d = 0.50
[297] : n = 400; d = 0.00
[298] : n = 500; d = 1.00
[299] : n = 500; d = 0.30
[300] : n = 20; d = 1.00
[301] : n = 200; d = 0.00
[302] : n = 500; d = 0.01
[303] : n = 100; d = 0.30
[304] : n = 500; d = 0.00
[305] : n = 12; d = 0.39
[306] : n = 200; d = 0.00
[307] : n = 12; d = 0.35
[308] : n = 500; d = 0.03
[309] : n = 15; d = 0.10
[310] : n = 4; d = 0.42
[311] : n = 14; d = 0.13
[312] : n = 500; d = 0.00
[313] : n = 500; d = 0.45
[314] : n = 100; d = 0.10
[315] : n = 500; d = 0.03
[316] : n = 167; d = 0.25
[317] : n = 100; d = 0.01
[318] : n = 500; d = 0.00
[319] : n = 500; d = 0.08
[320] : n = 400; d = 0.50
[321] : n = 500; d = 0.03
[322] : n = 10; d = 0.13
[323] : n = 200; d = 0.49
[324] : n = 500; d = 0.50
[325] : n = 300; d = 0.05
[326] : n = 6; d = 1.00
[327] : n = 500; d = 0.50
[328] : n = 250; d = 1.00
[329] : n = 300; d = 0.00
[330] : n = 200; d = 0.02
[331] : n = 500; d = 0.00
[332] : n = 372; d = 0.60
[333] : n = 300; d = 0.50
[334] : n = 100; d = 0.05
[335] : n = 12; d = 0.27
[336] : n = 300; d = 0.50
[337] : n = 9; d = 0.17
[338] : n = 500; d = 0.54
[339] : n = 20; d = 0.04
[340] : n = 88; d = 0.00
[341] : n = 500; d = 0.87
[342] : n = 500; d = 0.87
[343] : n = 500; d = 0.90
[344] : n = 500; d = 0.80
[345] : n = 500; d = 0.01
[346] : n = 473; d = 0.00
[347] : n = 230; d = 0.17
[348] : n = 6; d = 0.27
[349] : n = 100; d = 0.01
[350] : n = 500; d = 0.50
[351] : n = 426; d = 0.04
[352] : n = 496; d = 0.50
[353] : n = 400; d = 0.03
[354] : n = 500; d = 0.30
[355] : n = 207; d = 0.00
[356] : n = 471; d = 0.50
[357] : n = 500; d = 0.02
[358] : n = 150; d = 0.00
[359] : n = 250; d = 0.25
[360] : n = 100; d = 0.22
[361] : n = 100; d = 0.01
[362] : n = 500; d = 0.00
[363] : n = 500; d = 0.35
[364] : n = 500; d = 0.00
[365] : n = 5; d = 1.00
[366] : n = 500; d = 0.10
[367] : n = 500; d = 0.00
[368] : n = 50; d = 0.18
[369] : n = 500; d = 0.41
[370] : n = 100; d = 0.48
[371] : n = 14; d = 0.12
[372] : n = 500; d = 0.30
[373] : n = 30; d = 0.53
[374] : n = 394; d = 0.50
[375] : n = 500; d = 0.43
[376] : n = 500; d = 1.00
[377] : n = 100; d = 0.01
[378] : n = 470; d = 0.07
[379] : n = 500; d = 0.50
[380] : n = 100; d = 0.26
[381] : n = 499; d = 0.03
[382] : n = 400; d = 0.00
[383] : n = 2; d = 0.00
[384] : n = 500; d = 0.50
[385] : n = 500; d = 1.00
[386] : n = 200; d = 0.01
[387] : n = 15; d = 0.09
[388] : n = 289; d = 0.75
[389] : n = 10; d = 0.21
[390] : n = 500; d = 0.50
[391] : n = 500; d = 0.04
[392] : n = 500; d = 0.00
[393] : n = 500; d = 0.20
[394] : n = 200; d = 0.36
[395] : n = 500; d = 0.50
[396] : n = 296; d = 0.50
[397] : n = 500; d = 0.50
[398] : n = 500; d = 0.50
[399] : n = 400; d = 0.00
[400] : n = 499; d = 0.02
[401] : n = 4; d = 0.42
[402] : n = 381; d = 0.60
[403] : n = 500; d = 0.07
[404] : n = 400; d = 0.25
[405] : n = 75; d = 0.02
[406] : n = 473; d = 0.00
[407] : n = 150; d = 0.61
[408] : n = 500; d = 0.20
[409] : n = 500; d = 0.41
[410] : n = 2; d = 0.00
[411] : n = 300; d = 0.00
[412] : n = 500; d = 0.30
[413] : n = 500; d = 0.50
[414] : n = 500; d = 0.01
[415] : n = 500; d = 0.86
[416] : n = 465; d = 1.00
[417] : n = 11; d = 0.13
[418] : n = 500; d = 0.15
[419] : n = 100; d = 0.07
[420] : n = 500; d = 0.01
[421] : n = 184; d = 0.40
[422] : n = 500; d = 0.01
[423] : n = 4; d = 0.50
[424] : n = 500; d = 0.10
[425] : n = 12; d = 0.13
[426] : n = 500; d = 0.20
[427] : n = 6; d = 0.30
[428] : n = 400; d = 0.50
[429] : n = 300; d = 0.50
[430] : n = 500; d = 0.10
[431] : n = 500; d = 0.12
[432] : n = 400; d = 0.13
[433] : n = 500; d = 0.04
[434] : n = 500; d = 0.00
[435] : n = 5; d = 0.40
[436] : n = 35; d = 0.05
[437] : n = 487; d = 0.17
[438] : n = 100; d = 0.02
[439] : n = 7; d = 0.19
[440] : n = 500; d = 0.02
[441] : n = 200; d = 0.50
[442] : n = 500; d = 0.50
[443] : n = 499; d = 0.50
[444] : n = 100; d = 0.01
[445] : n = 100; d = 0.05
[446] : n = 498; d = 0.01
[447] : n = 100; d = 1.00
[448] : n = 480; d = 0.00
[449] : n = 500; d = 0.00
[450] : n = 500; d = 0.80
[451] : n = 350; d = 0.06
[452] : n = 500; d = 1.00
[453] : n = 100; d = 0.10
[454] : n = 500; d = 0.00
[455] : n = 500; d = 0.10
[456] : n = 500; d = 0.00
[457] : n = 100; d = 0.51
[458] : n = 500; d = 0.85
[459] : n = 500; d = 0.01
[460] : n = 50; d = 0.20
[461] : n = 500; d = 0.50
[462] : n = 500; d = 0.01
[463] : n = 500; d = 0.50
[464] : n = 100; d = 0.00
[465] : n = 500; d = 0.50
[466] : n = 500; d = 0.00
[467] : n = 182; d = 0.01
[468] : n = 100; d = 0.11
[469] : n = 300; d = 0.02
[470] : n = 500; d = 0.50
[471] : n = 3; d = 0.50
[472] : n = 500; d = 0.08
[473] : n = 500; d = 1.00
[474] : n = 200; d = 0.01
[475] : n = 200; d = 0.69
