[1.1] : n = 499; d = 0.70
[2.1] : n = 47; d = 0.04
[2.2] : n = 1; d = 0.00
[2.3] : n = 1; d = 0.00
[2.4] : n = 1; d = 0.00
[2.5] : n = 1; d = 0.00
[3.1] : n = 500; d = 0.50
[4.1] : n = 500; d = 0.07
[5.1] : n = 500; d = 1.00
[6.1] : n = 35; d = 0.50
[7.1] : n = 1; d = 0.00
[7.2] : n = 10; d = 0.16
[7.3] : n = 1; d = 0.00
[7.4] : n = 1; d = 0.00
[7.5] : n = 1; d = 0.00
[7.6] : n = 1; d = 0.00
[7.7] : n = 1; d = 0.00
[7.8] : n = 1; d = 0.00
[7.9] : n = 1; d = 0.00
[8.1] : n = 1; d = 0.00
[8.2] : n = 1; d = 0.00
[8.3] : n = 1; d = 0.00
[8.4] : n = 1; d = 0.00
[8.5] : n = 1; d = 0.00
[8.6] : n = 1; d = 0.00
[8.7] : n = 1; d = 0.00
[8.8] : n = 1; d = 0.00
[8.9] : n = 1; d = 0.00
[8.10] : n = 1; d = 0.00
[8.11] : n = 1; d = 0.00
[8.12] : n = 172; d = 0.01
[8.13] : n = 1; d = 0.00
[8.14] : n = 1; d = 0.00
[8.15] : n = 1; d = 0.00
[8.16] : n = 1; d = 0.00
[8.17] : n = 1; d = 0.00
[8.18] : n = 1; d = 0.00
[8.19] : n = 1; d = 0.00
[8.20] : n = 1; d = 0.00
[8.21] : n = 1; d = 0.00
[8.22] : n = 1; d = 0.00
[8.23] : n = 1; d = 0.00
[8.24] : n = 1; d = 0.00
[8.25] : n = 1; d = 0.00
[8.26] : n = 1; d = 0.00
[8.27] : n = 1; d = 0.00
[8.28] : n = 1; d = 0.00
[8.29] : n = 1; d = 0.00
[9.1] : n = 498; d = 1.00
[10.1] : n = 500; d = 0.50
[11.1] : n = 3; d = 0.50
[11.2] : n = 3; d = 0.50
[11.3] : n = 2; d = 0.00
[11.4] : n = 3; d = 0.50
[11.5] : n = 1; d = 0.00
[11.6] : n = 3; d = 0.50
[11.7] : n = 3; d = 0.50
[11.8] : n = 2; d = 0.00
[11.9] : n = 3; d = 0.50
[11.10] : n = 1; d = 0.00
[11.11] : n = 3; d = 0.50
[11.12] : n = 3; d = 0.50
[11.13] : n = 2; d = 0.00
[11.14] : n = 3; d = 0.50
[11.15] : n = 1; d = 0.00
[11.16] : n = 3; d = 0.50
[11.17] : n = 3; d = 0.50
[11.18] : n = 2; d = 0.00
[11.19] : n = 3; d = 0.50
[11.20] : n = 1; d = 0.00
[11.21] : n = 3; d = 0.50
[11.22] : n = 3; d = 0.50
[11.23] : n = 2; d = 0.00
[11.24] : n = 3; d = 0.50
[11.25] : n = 1; d = 0.00
[11.26] : n = 3; d = 0.50
[11.27] : n = 3; d = 0.50
[11.28] : n = 2; d = 0.00
[11.29] : n = 3; d = 0.50
[11.30] : n = 1; d = 0.00
[11.31] : n = 3; d = 0.50
[11.32] : n = 3; d = 0.50
[11.33] : n = 2; d = 0.00
[11.34] : n = 3; d = 0.50
[11.35] : n = 1; d = 0.00
[11.36] : n = 3; d = 0.50
[11.37] : n = 3; d = 0.50
[11.38] : n = 2; d = 0.00
[11.39] : n = 3; d = 0.50
[11.40] : n = 1; d = 0.00
[11.41] : n = 3; d = 0.50
[11.42] : n = 3; d = 0.50
[11.43] : n = 2; d = 0.00
[11.44] : n = 3; d = 0.50
[11.45] : n = 1; d = 0.00
[11.46] : n = 3; d = 0.50
[11.47] : n = 3; d = 0.50
[11.48] : n = 2; d = 0.00
[11.49] : n = 3; d = 0.50
[11.50] : n = 1; d = 0.00
[11.51] : n = 3; d = 0.50
[11.52] : n = 3; d = 0.50
[11.53] : n = 2; d = 0.00
[11.54] : n = 3; d = 0.50
[11.55] : n = 1; d = 0.00
[11.56] : n = 3; d = 0.50
[11.57] : n = 3; d = 0.50
[11.58] : n = 2; d = 0.00
[11.59] : n = 3; d = 0.50
[11.60] : n = 1; d = 0.00
[11.61] : n = 3; d = 0.50
[11.62] : n = 3; d = 0.50
[11.63] : n = 2; d = 0.00
[11.64] : n = 3; d = 0.50
[11.65] : n = 1; d = 0.00
[11.66] : n = 3; d = 0.50
[11.67] : n = 3; d = 0.50
[11.68] : n = 2; d = 0.00
[11.69] : n = 3; d = 0.50
[11.70] : n = 1; d = 0.00
[11.71] : n = 3; d = 0.50
[11.72] : n = 3; d = 0.50
[11.73] : n = 2; d = 0.00
[11.74] : n = 3; d = 0.50
[11.75] : n = 1; d = 0.00
[11.76] : n = 3; d = 0.50
[11.77] : n = 3; d = 0.50
[11.78] : n = 2; d = 0.00
[11.79] : n = 3; d = 0.50
[11.80] : n = 1; d = 0.00
[11.81] : n = 3; d = 0.50
[11.82] : n = 3; d = 0.50
[11.83] : n = 2; d = 0.00
[11.84] : n = 3; d = 0.50
[11.85] : n = 1; d = 0.00
[11.86] : n = 3; d = 0.50
[11.87] : n = 3; d = 0.50
[11.88] : n = 2; d = 0.00
[11.89] : n = 3; d = 0.50
[11.90] : n = 1; d = 0.00
[11.91] : n = 3; d = 0.50
[11.92] : n = 3; d = 0.50
[11.93] : n = 2; d = 0.00
[11.94] : n = 3; d = 0.50
[11.95] : n = 1; d = 0.00
[11.96] : n = 3; d = 0.50
[11.97] : n = 3; d = 0.50
[11.98] : n = 2; d = 0.00
[11.99] : n = 3; d = 0.50
[11.100] : n = 1; d = 0.00
[11.101] : n = 3; d = 0.50
[11.102] : n = 3; d = 0.50
[11.103] : n = 2; d = 0.00
[11.104] : n = 3; d = 0.50
